noticia,medio,autor,titulo,fecha,lugar,oracion,sustantivos,adjetivos,verbos,personas,organizaciones,lugares,fechas,geopoliticos,eventos,polaridad,subjetividad
511.txt,News Online Today,"",POK MEMBERS ARRESTED,20010901,"ELODIS, Kronos",The five POK activists had gathered in front of the gates to GAStech gas drilling operations facility to bring public awareness about the polluted Tiskele River which has caused health problems to the residents of Elodis.,"activist,front,gate,gas,drilling,operation,facility,awareness,health,problem,resident","public,polluted","gather,bring,cause","","POK,GAStech",Tiskele River,"",Elodis,"",0.0,0.06666666666666667
511.txt,News Online Today,"",POK MEMBERS ARRESTED,20010901,"ELODIS, Kronos",An eyewitness told the Homeland Illumination that when the gates opened to allow GAStech company vehicles to exit the facility the protesters moved aside.,"eyewitness,gate,company,vehicle,facility,protester","","tell,open,allow,exit,move","","the Homeland Illumination,GAStech","","","","",0.0,0.0
511.txt,News Online Today,"",POK MEMBERS ARRESTED,20010901,"ELODIS, Kronos","""It was all very civil up till then,"" Griffith Mabel, an Elodis resident who had come out to support the POK told reporters.","resident,reporter",civil,"come,support,tell",Griffith Mabel,POK,"","",Elodis,"",0.2,0.3
63.txt,News Online Today,"",GASTECH LEADERSHIP CONFIRMED MISSING,20140120,"ABILA, Kronos","Miriam Avila, an administrative assistant at GAStech International, has confirmed that members of the GAStech leadership are in fact missing.","assistant,member,leadership,fact",administrative,"confirm,miss",Miriam Avila,"GAStech International,GAStech","","","","",0.06666666666666667,0.35000000000000003
63.txt,News Online Today,"",GASTECH LEADERSHIP CONFIRMED MISSING,20140120,"ABILA, Kronos","maintains an office in Centrum, the capital of Tethys, most of GAStech International's operations take place on Kronos including production of about 5 million cubic meters of gas daily.","office,capital,operation,place,production,meter,gas","most,cubic","maintain,take,include","","GAStech International's,Kronos","",daily,"Centrum,Tethys","",0.16666666666666666,0.16666666666666666
446.txt,News Online Today,"","Kronos protests break out in violence ",20131113,"","Journalist Shawn Pastorini says ""lack of respect"" is fuelling the protests","journalist,lack,respect,protest","","say,fuel",Shawn Pastorini,"","","","","",0.0,0.0
446.txt,News Online Today,"","Kronos protests break out in violence ",20131113,"",<,"","","","","","","","","",0.0,0.0
446.txt,News Online Today,"","Kronos protests break out in violence ",20131113,"","< Continue reading the main story >>  

Demonstrators in Abilia, Kronos have set fire to government buildings, in another round of unrest in this torn city","story,demonstrator,fire,government,building,round,unrest,city",main,"continue,read,set,tear","","","","","Abilia,Kronos","",-0.016666666666666677,0.3666666666666667
446.txt,News Online Today,"","Kronos protests break out in violence ",20131113,"",Dozens of people have been injured in protests over perceived government corruption and perceived inability of politicians to improve the situation.,"dozen,people,protest,government,corruption,inability,politician,situation","","injure,perceive,perceive,improve","","","","","","",0.0,0.0
446.txt,News Online Today,"","Kronos protests break out in violence ",20131113,"","Hundreds of rural citizens are suffering major illnesses apparently caused by exposure to GAStech waste streams, although this has not been official substantiated or acknowledge by either the company or government.","hundred,citizen,illness,exposure,waste,stream,company,government","rural,major","suffer,cause,substantiate,acknowledge","",GAStech,"","","","",-0.021875000000000002,0.2125
446.txt,News Online Today,"","Kronos protests break out in violence ",20131113,"",That is what sparked the initial protests in Abila - but empathy with their cause brought demonstrators out in towns across Kronos.,"protest,empathy,cause,demonstrator,town",initial,"spark,bring","","","","","Abila,Kronos","",0.0,0.0
389.txt,News Online Today,"",DRUG RELATED ARRESTS ON THE RISE,20110515,"ABILA, Kronos",An alarming new trend is sweeping Abila.,trend,"alarming,new","","","","","",Abila,"",0.018181818181818174,0.5272727272727272
389.txt,News Online Today,"",DRUG RELATED ARRESTS ON THE RISE,20110515,"ABILA, Kronos","The concerns over the increase of drug related arrests are two-fold: first, violent activist groups such as the Protectors of Kronos could be using drug sales as a means to fund their activities;","concern,increase,drug,arrest,group,drug,sale,means,activity","-,fold,violent,activist,such","relate,use,fund","",the Protectors of Kronos,"","","","",-0.1375,0.5583333333333333
46.txt,News Online Today,"",SANJORGE JR. TAKING GASTECH INTERNATIONAL PUBLIC,20130903,"CENTRUM, Tethys","After 52 years of being privately owned, Sten Sanjorge, Jr. is taking GAStech public.",year,public,"own,take","","Sten Sanjorge, Jr.,GAStech","",52 years,"","",0.0,0.22083333333333333
46.txt,News Online Today,"",SANJORGE JR. TAKING GASTECH INTERNATIONAL PUBLIC,20130903,"CENTRUM, Tethys","The company, founded in 1961 by Sten Sanjorge, Sr., said Monday it plans a stock offering that could place its value in the neighborhood of $3.75 billion.","company,stock,offering,value,neighborhood","","found,say,plan,place","Sten Sanjorge, Sr","","","1961,Monday","","",0.0,0.0
440.txt,News Online Today,"","GASTECH EMPLOYEE INTERROGATED, RELEASED",20140120,"ABILA, Kronos",For roughly 6 hours GAStech - Kronos employee Edvard Vann was interrogated by Kronos Police and Government officials before being released at 17:00 this evening.,"hour,employee,official,evening","","interrogate,release",Edvard Vann,"GAStech,Kronos Police,Government","","","","",-0.1,0.4
440.txt,News Online Today,"","GASTECH EMPLOYEE INTERROGATED, RELEASED",20140120,"ABILA, Kronos","With some 14 GAStech employees still unaccounted for, one cannot blame the police or the government for not leaving any stone unturned.","employee,police,government,stone","unaccounted,unturned",blame,"",GAStech,"","","","",0.0,0.0
483.txt,News Online Today,"","GASTECH TRUCK HITS AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ",20070321,"ELODIS, Kronos","A vehicle collision claimed the lives of an Elodis family, including two children Tuesday afternoon.","vehicle,collision,life,family,child,afternoon","","claim,include",Elodis,"","",Tuesday,"","",0.0,0.0
483.txt,News Online Today,"","GASTECH TRUCK HITS AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ",20070321,"ELODIS, Kronos",The family was traveling home from a school program where one of the children had performed in the Spring Program at Elodis Primary School.,"family,school,program,child","","travel,perform","",Elodis Primary School,"","","",the Spring Program,0.4,0.5
786.txt,News Online Today,"",ELODIS PUBLIC HEALTH FACT SHEET 2004,20040530,"ELODIS, Kronos",The Elodis Community Health Center has published an update to the Wellness for All study performed in 1998.,"update,study","","publish,perform","",The Elodis Community Health Center,"",1998,"","",-0.1,0.1
549.txt,News Online Today,"",THREATS ISSUED BY POK,20120309,"ABILA, Kronos","Letters purported to be from the Protectors of Kronos (POK) have been received by Vincent Kapelou, Minister of Health and nephew of President Kapelou.","letter,nephew","","purport,be,receive","Vincent Kapelou,Kapelou",the Protectors of Kronos,"","","","",0.0,0.0
204.txt,News Online Today,"",SPONTANEOUS PROTESTS ERUPT AROUND ABILA,20090621,"ABILA, Kronos","Protests erupted around the Kronos government buildings, downtown, and elsewhere around Abila eventually escalating into riots and violence.","protest,government,building,downtown,riot,violence","","erupt,escalate","",Kronos,"","",Abila,"",0.0,0.0
204.txt,News Online Today,"",SPONTANEOUS PROTESTS ERUPT AROUND ABILA,20090621,"ABILA, Kronos","A unifying theme of the protesters was the chanted slogans including ""Justice for Elian"" in reference to previously mentioned activist Elian Karel and ""Remember Juliana"", a young girl from Elodis who died in 1998 allegedly from the effects of water contamination.","theme,protester,slogan,justice,reference,activist,girl,effect,water,contamination","unifying,young","chant,include,mention,remember,die","Elian,Elian Karel,Juliana","","",1998,Elodis,"",-0.05555555555555555,0.2222222222222222
209.txt,News Online Today,"",GOVERNMENT STANDS UP ANT,20131217,TITLE: GOVERNMENT STANDS UP ANT,"TITLE: GOVERNMENT STANDS UP ANTI-TERRORIST TASK FORCE

PUBLISHED: 17 December 2013","title,government,task,force","anti,terrorist","stand,publish","","","",17 December 2013,"","",0.0,0.0
209.txt,News Online Today,"",GOVERNMENT STANDS UP ANT,20131217,TITLE: GOVERNMENT STANDS UP ANT,President Kapelous office announced today the formation of a State security anti-terrorist task force.,"office,today,formation,security,task,force","anti,-,terrorist",announce,Kapelous,State,"",today,"","",0.0,0.0
209.txt,News Online Today,"",GOVERNMENT STANDS UP ANT,20131217,TITLE: GOVERNMENT STANDS UP ANT,"A spokesman for the office said Considering the increased incidents of terrorist acts around the world, we felt it was time to readdress our operational readiness.","spokesman,office,incident,act,world,time,readiness.","terrorist,operational","say,increase,feel,readdress","","","","","","",0.0,0.0
209.txt,News Online Today,"",GOVERNMENT STANDS UP ANT,20131217,TITLE: GOVERNMENT STANDS UP ANT,Task force members will be recruited from military and law enforcement agencies.,"task,force,member,military,law,enforcement,agency","",recruit,"","","","","","",-0.1,0.1
252.txt,News Online Today,"","Annual POK Rally Ends in Riot, Again",20130620,"ABILA, Kronos",POK members held their annual demonstration in Abila yesterday.,"member,demonstration,yesterday",annual,hold,"",POK,"","annual,yesterday",Abila,"",0.0,0.0
252.txt,News Online Today,"","Annual POK Rally Ends in Riot, Again",20130620,"ABILA, Kronos","Police and government security forces set up between the protestors and the Capitol building in a show of force, hoping to prevent the kind of chaos that occurred during last year's riot.","police,government,security,force,protestor,show,force,kind,chaos,year,riot",last,"set,prevent,occur","","","","last year's","","",0.3,0.48333333333333334
711.txt,News Online Today,"",MEETING SET FOR TOMORROW MORNING,20140119,"ABILA, Kronos","With a meeting set tomorrow at 8 AM, the recent Initial Public Offering, and CEO","meeting,tomorrow,am",recent,set,"",Initial Public Offering,"",tomorrow,"","",0.0,0.10555555555555556
711.txt,News Online Today,"",MEETING SET FOR TOMORROW MORNING,20140119,"ABILA, Kronos","Sten Sanjorge, Jr.","","","","Sten Sanjorge, Jr.","","","","","",0.0,0.0
631.txt,News Online Today,"","Kronos's Protectors of Kronos declared 'terrorist group'",20090223,"","<<Deleted image: POK has held numerous demonstrations in Kronos's capital of Abila>>","image,demonstration,capital",numerous,"delete,hold","","POK,Kronos","","",Abila,"",0.0,0.5
631.txt,News Online Today,"","Kronos's Protectors of Kronos declared 'terrorist group'",20090223,"",Continue reading the main story,story,main,"continue,read","","","","","","",0.16666666666666666,0.3333333333333333
631.txt,News Online Today,"","Kronos's Protectors of Kronos declared 'terrorist group'",20090223,"",The government of Kronos has declared the Protectors of Kronos a terrorist group after blaming it for a deadly attack on police headquarters earlier this week.,"government,group,attack,police,headquarter,week","terrorist,deadly",declare,"","Kronos,the Protectors of Kronos","",earlier this week,"","",-0.1,0.45
631.txt,News Online Today,"","Kronos's Protectors of Kronos declared 'terrorist group'",20090223,"","""It's not possible for Kronos the state nor Kronos the people to submit to the POK terrorism."" 

The POK has denied being responsible for the attack, and accused the Kronos government of staging a frame-up to silence the groups concerns for the people.","state,people,terrorism,attack,government,frame,up,group,concern,people","possible,responsible","submit,deny,be,accuse,silence","","Kronos,Kronos,POK,POK,Kronos","","","","",0.1,0.775
596.txt,News Online Today,"","Centrum's central role in the Tethan Gas Industry",19821003,"","The world of gas is distant, difficult and far flung.","world,gas","distant,difficult,flung","","","","","","","",-0.16666666666666666,0.7833333333333333
596.txt,News Online Today,"","Centrum's central role in the Tethan Gas Industry",19821003,"","In Tethys a few years ago, I journeyed laboriously to the remote gas fields of Tethys to look at a contentious new energy producing area.","year,gas,field,energy,area","few,remote,contentious,new","journey,look,produce","","","",a few years ago,"Tethys,Tethys","",-0.054545454545454564,0.2515151515151515
596.txt,News Online Today,"","Centrum's central role in the Tethan Gas Industry",19821003,"","One of the sites I visited was a local office of the Sanjorge Gas company, crammed with reinforced work boots and overalls and the chemicals and supplies you need to run a gas operation.","site,office,company,work,boot,overall,chemical,supply,gas,operation",local,"visit,cram,reinforce,need,run","",the Sanjorge Gas company,"","","","",0.0,0.0
596.txt,News Online Today,"","Centrum's central role in the Tethan Gas Industry",19821003,"","But I'd forgotten about the encounter until I went back to Tethys the other day for the first time since their early years, to reacquaint with the man who created the business, Sten Sanjorge: one man (one of the richest individuals in Tethys) who has lived through the whole story of gas prospecting and prospered mightily from it.","encounter,day,time,year,man,business,man,individual,story,gas,prospecting","other,first,early,rich,whole","forget,go,reacquaint,create,live,prosper",Sten Sanjorge,"","",the other day,"Tethys,Tethys","",0.1375,0.3847222222222222
596.txt,News Online Today,"","Centrum's central role in the Tethan Gas Industry",19821003,"",Something very significant has happened to turn Centrum into a global centre of gas industry expertise.,"centre,gas,industry,expertise","significant,global","happen,turn","","","","",Centrum,"",0.24375000000000002,0.5
596.txt,News Online Today,"","Centrum's central role in the Tethan Gas Industry",19821003,"","The city has taken the temporary boon of energy on its doorstep, and turned it into specialized knowledge and intellectual property which may make Centrum a centre of gas expertise long after the gas itself runs out.","city,boon,energy,doorstep,knowledge,property,centre,gas,expertise,gas","temporary,specialized,intellectual","take,turn,make,run","","","","",Centrum,"",0.125,0.4
256.txt,News Online Today,"",TISKELE BEND EXPLOSION AND FIRE,20000817,"ABILA, Kronos","A spark at the GAStech International-owned well at the Tiskele Bend site ignited methane gas several hundred feet underground, causing a fireball and fire that burned for about an hour is the findings from a dual GAStech - government investigation of the explosion and subsequent fire Sunday morning.","spark,well,site,methane,gas,foot,fireball,fire,hour,finding,government,investigation,explosion,fire,morning","several,dual,subsequent","own,ignite,burn,be","","GAStech International,GAStech","",Sunday,Tiskele Bend,"",0.0,0.025
65.txt,News Online Today,"",GASTECH ADOPTS NEW LOGO,20090516,"CENTRUM, Tethys","With great fanfare GAStech International's President and CEO Sten Sanjorge, Jr. spoke of the new logo - a tri-part blue flame - that is reminiscent of a leaf to ""help position GAStech and its products as a clean fuel alternative.""  

This rebranding process and new logo seem to be in response to recent trouble the multi-national gas giant has been struggling with in Kronos including the February 19 protest at GAStech - Kronos' headquarters of 200 people who blocked entrance to the building, resulting in several arrests.","fanfare,logo,flame,leaf,product,fuel,alternative,rebranding,process,logo,response,trouble,gas,giant,protest,headquarters,people,entrance,building,arrest","great,new,tri,-,part,blue,reminiscent,clean,new,recent,multi,-,national,several","speak,be,help,position,seem,be,struggle,block","Sten Sanjorge, Jr.","GAStech International's,GAStech,Kronos,GAStech,Kronos","",February 19,"","",0.11267217630853996,0.40082644628099184
323.txt,News Online Today,"",KRONOS POLICE ARREST BLOTTER,20111123,TITLE: KRONOS POLICE ARREST BLOTTER,"TITLE: KRONOS POLICE ARREST BLOTTER - ABILA  

PUBLISHED: 2011/11/23
 

AWELON, CYNTHE / DOB: 3/20/1981 / Time of Arrest: 0003 hrs / Accused of: DRUG PARAPHERNALIA","title,dob,time,arrest,hr","","publish,accuse","AWELON,PARAPHERNALIA","","","2011/11/23
 

,3/20/1981 / Time of Arrest","KRONOS,CYNTHE","",-0.05,0.0
323.txt,News Online Today,"",KRONOS POLICE ARREST BLOTTER,20111123,TITLE: KRONOS POLICE ARREST BLOTTER,"BLUMIAU, WILLEM / DOB: 2/15/1995 / Time of Arrest: 2215 hrs / Accused of: POSSESSION OF CONTROLLED SUBSTANCE (HASHISH); PEDESTRN SUBJECT TO SIGNAL 

CUSEMA, BRITA / DOB: 1/7/1992 / Time of Arrest: 2205 hrs / Accused of: THEFT SHOPLIFTING-5TH DEGREE 

DUNNA, THAD / DOB: 9/20/1974 / Time of Arrest: 1500 hrs / Accused of: THEFT ALL OTHER-3RD DEGREE 

GUDENZ, KEL / DOB: 7/2/1995 / Time of Arrest: 1630 hrs / Accused of: FAILURE TO MAINTAIN CONTROL","time,arrest,hr,possession,substance,dob,time,arrest,hr,shoplifting-5th,time,arrest,hr,dob,time,arrest,hr,failure,control","subject,other-3rd,maintain","accuse,control,accuse,dob,accuse,accuse","BLUMIAU,WILLEM,CUSEMA,DUNNA,KEL","","",9/20/1974 / Time of Arrest: 1500 hrs,"BRITA,THAD","",-0.11388888888888889,0.10555555555555556
7.txt,News Online Today,"",WRAP UP OF EVENTS AT GASTECH,20140120,"ABILA, Kronos",A long tense day of conflicting reports and confusing information has come to an end.,"day,report,confusing,information,end","long,tense","conflict,come","","","",A long tense day,"","",-0.22777777777777777,0.43333333333333335
7.txt,News Online Today,"",WRAP UP OF EVENTS AT GASTECH,20140120,"ABILA, Kronos","What we know for certain is that 14 GAStech employees are not only missing, but kidnapped as confirmed by a Kronos Government source.","employee,source",certain,"know,miss,kidnap,confirm","","GAStech,Kronos Government","","","","",0.10357142857142856,0.6553571428571429
7.txt,News Online Today,"",WRAP UP OF EVENTS AT GASTECH,20140120,"ABILA, Kronos","Edvard Vann, a GAStech - Kronos security guard who was interrogated and released after 6 hours, gave the indication that the Protectors of Kronos were involved or at least suspected as being the perpetrators behind today's events.","security,guard,hour,indication,perpetrator,today,event",least,"interrogate,release,give,involve,suspect",Edvard Vann,"GAStech,Kronos","",today,"","",-0.35,0.55
779.txt,News Online Today,"",POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,19981115,"ABILA, Kronos","Representatives from the social activist group Protectors of Kronos (POK) met earlier this week with Cesare Nespola, Minister of Health to discuss resolutions to the water contamination that has plagued Elodis since the late 1990s.","representative,activist,group,week,resolution,water,contamination,1990","social,late","meet,discuss,plague",Cesare Nespola,"Protectors of Kronos,POK","","earlier this week,the late 1990s",Elodis,"",-0.08888888888888889,0.38888888888888884
71.txt,News Online Today,"","GOVERNMENT RESPONDS TO ANOTHER ROUND OF PROTESTS ",20100621,"ABILA, Kronos",Protesters aligned with the Protectors of Kronos (POK) activist group surrounded government buildings chanting and carry images of their so-called martyrs.,"protester,activist,group,government,building,image,martyr","","align,surround,carry,call","","Protectors of Kronos,POK","","","","",0.0,0.0
71.txt,News Online Today,"","GOVERNMENT RESPONDS TO ANOTHER ROUND OF PROTESTS ",20100621,"ABILA, Kronos",Kronos government security forces in concert with Abila police suppressed the protest with an impressive show of force.,"government,security,force,concert,police,protest,show,force",impressive,suppress,"","Kronos,Abila","","","","",1.0,1.0
447.txt,News Online Today,"",POK RALLY DRAWS THOUSANDS OF SUPPORTERS,20090308,"ABILA, Kronos","Thousands of protesters carrying banners reading ""Remember Juliana!"" rallied in front of the Kronos government offices Saturday morning.","thousand,protester,carrying,banner,front,government,office,morning","","remember,rally",Juliana,Kronos,"",Saturday,"","",0.0,0.0
447.txt,News Online Today,"",POK RALLY DRAWS THOUSANDS OF SUPPORTERS,20090308,"ABILA, Kronos",She has become the heart-rending icon of a movement that has gained support from one end of Kronos to the other.,"heart,icon,movement,support,end",other,"become,rend,gain","",Kronos,"","","","",-0.125,0.375
447.txt,News Online Today,"",POK RALLY DRAWS THOUSANDS OF SUPPORTERS,20090308,"ABILA, Kronos","Karel took over POK leadership from Henk Bodrogi, whose ill health forced him down from the position.","leadership,health,position",ill,"take,force","Karel,Henk Bodrogi",POK,"","","","",-0.31851851851851853,0.4962962962962963
447.txt,News Online Today,"",POK RALLY DRAWS THOUSANDS OF SUPPORTERS,20090308,"ABILA, Kronos","Karel spoke eloquently about the beginnings of the POK campaign as a grassroots effort for clean water, to the dynamic movement it has become demanding improved government transparency and accountability.","beginning,campaign,effort,water,movement,government,transparency,accountability","grassroots,clean,dynamic","speak,become,demand,improve",Karel,POK,"","","","",0.18333333333333335,0.43333333333333335
447.txt,News Online Today,"",POK RALLY DRAWS THOUSANDS OF SUPPORTERS,20090308,"ABILA, Kronos","We know these corporations are generating records profits at the expense of Kronos, but we see none of the promised improvements.","corporation,record,profit,expense,none,improvement","","know,generate,see,promise","",Kronos,"","","","",0.0,0.0
606.txt,News Online Today,"","TAX MEASURE DEFEATED, POK EFFORTS STALLED",20010322,"Abila, Kronos",A measure to increase taxes on foreign oil and gas development proposed by Minister of Health Cesare Nespola was defeated by a wide margin last week in the General Assembly.,"measure,taxis,oil,gas,development,margin,week","foreign,wide,last","increase,propose,defeat",Cesare Nespola,the General Assembly,"",last week,"","",-0.04375,0.2729166666666667
337.txt,News Online Today,"","Kapelou Calls POK ""A Gang of Criminals""",20120622,"ABILA, Kronos","In a press release today, President Kapelou today called the POK ""a gang of criminals, thugs, and malcontents who have become a pestilence to our peaceful way of life.""","press,release,today,today,gang,criminal,thug,malcontent,pestilence,way,life",peaceful,"call,become",Kapelou,POK,"","today,today","","",0.25,0.5
789.txt,News Online Today,"",KRONOS GDP ON THE RISE,20000115,"ABILA, Kronos","The real gross domestic product - the output of goods and services produced by labor and property located in Kronos - increased at an annual rate of 5.4% in the fourth quarter of 1999, according to the advance estimate released by the Bureau of Economics.","product,output,good,service,labor,property,rate,%,quarter,advance,estimate","real,gross,domestic,annual,fourth","produce,locate,increase,release","","Kronos,the Bureau of Economics","","annual,the fourth quarter of 1999","","",0.0,0.03333333333333333
79.txt,News Online Today,"","ELODIS, KRONOS: WILL THE GOVERNMENT RESPOND IN TIME? ",19980515,Petrus Gerhar,"I've asked him to tell me about the involvement of the government of Kronos in the deeply troubling account of a community's struggle for protection from those who should help them the most: their elected officials, against those who would poison their children and the country's food.","involvement,government,troubling,account,community,struggle,protection,official,child,country,food","","ask,tell,help,elect,poison","",Kronos,"","","","",0.25,0.45
79.txt,News Online Today,"","ELODIS, KRONOS: WILL THE GOVERNMENT RESPOND IN TIME? ",19980515,Petrus Gerhar,"He called every department that could possibly be associated with our problem:  interior, justice, foreign affairs, health.","department,problem,justice,affair,health","interior,foreign","call,associate","","","","","","",-0.0625,0.5625
79.txt,News Online Today,"","ELODIS, KRONOS: WILL THE GOVERNMENT RESPOND IN TIME? ",19980515,Petrus Gerhar,"Reese then describes months of meetings at which the government officials demanded documents proving their case:  health and crop yield statistics, the scientific test results from Wellness For All, and medical records.","month,meeting,government,official,document,case,health,crop,yield,statistic,test,result,record","scientific,medical","describe,demand",Reese,Wellness For All,"",months,"","",0.0,0.0
303.txt,News Online Today,"",GAStech Profile,20130222,"","It is the biggest company in Kronos, the third largest gas company on the planet, and it is fifty-three years old.","company,gas,company,planet,year","big,large,old",be,"",Kronos,"",fifty-three years old,"","",0.05,0.1
303.txt,News Online Today,"",GAStech Profile,20130222,"","This is the heart of Kronos's pipeline business, where gas from the eastern gas fields is piped west towards the rest of Kronos, Tethys and Europe.","heart,pipeline,business,gas,gas,field,rest",eastern,pipe,"","Kronos,Kronos,Tethys",Europe,"","","",0.0,0.0
303.txt,News Online Today,"",GAStech Profile,20130222,"","The head of GAStech, Sten Sanjorge, Jr, whose photo stares out from calendars and picture frames everywhere in the country, acknowledges the ""state within a state"" accusations, but argues that the company simply needs to look after its workers and the communities around them.","head,photo,calendar,picture,frame,country,state,state,accusation,company,worker,community","","stare,acknowledge,argue,need,look","Sten Sanjorge, Jr",GAStech,"","","","",0.0,0.35714285714285715
