noticia,medio,autor,titulo,fecha,lugar,oracion,sustantivos,adjetivos,verbos,personas,organizaciones,lugares,fechas,geopoliticos,eventos,polaridad,subjetividad,cant_personas
69.txt,Homeland Illumination,Petrus Gerhar,"ELODIS, KRONOS:  A TOWN IN NEED, Part On",19980319,,"The two founders - Sten Sanjorge Sr and Hank Fluss - found wildcat drilling to be more lucrative, and thus began a series of environmental disasters and financial scandals that eventually ran Sanjorge Sr into an early grave and drove Fluss into a marginal role in his own company.","founder,wildcat,drilling,series,disaster,scandal,grave,role,company","lucrative,environmental,financial,early,marginal,own","find,be,begin,run,drive","Sten Sanjorge Sr,Hank Fluss,Sanjorge Sr,Fluss",,,,,,0.3,0.45,4
531.txt,The Orb,,"ELODIS, KRONOS:  A CITY IN the NEED, part on",19980320,"ELODIS, Kronos","The two founders - Hank Fluss and Sten Sanjorge Sr. - wild drilling found with being more lucrative, and thus began a series of environmental disasters and scandals financial which ran thereafter  Sanjorge Sr. in a tomb early and led Fluss in a marginal role to its own company.","founder,drilling,series,disaster,scandal,tomb,role,company","wild,lucrative,environmental,financial,marginal,own","find,be,begin,run,lead","Hank Fluss,Sten Sanjorge Sr,Sanjorge Sr.,Fluss",,,,,,0.25999999999999995,0.4400000000000001,4
154.txt,All News Today,Petrus Gerhard,"ELODIS, KRONOS:  A TOWN IN NEED, Part One",19980320,"ELODIS, Kronos","I asked Reese to help me meet the people whose lives have been impacted by GAStech's operations.   

I caught up with Henk Bodrogi in town making purchases at the Osvaldo hardware store to repair a broken tractor.","people,life,operation,town,purchase,hardware,store,tractor",broken,"ask,help,meet,impact,catch,make,repair","Reese,Henk Bodrogi","GAStech,Osvaldo",,,,,-0.4,0.4,2
342.txt,News Online Today,,"ELODIS, KRONOS:  A TOWN IN NEED, Part One",19980320,Petrus Gerhard,"The two founders - Sten Sanjorge Sr and Hank Fluss - found wildcat drilling to be more lucrative, and thus began a series of environmental disasters and financial scandals that eventually ran Sanjorge Sr into an early grave and drove Fluss into a marginal role in his own company.","founder,wildcat,drilling,series,disaster,scandal,grave,role,company","lucrative,environmental,financial,early,marginal,own","find,be,begin,run,drive","Sten Sanjorge Sr,Hank Fluss,Sanjorge Sr,Fluss",,,,,,0.3,0.45,4
154.txt,All News Today,Petrus Gerhard,"ELODIS, KRONOS:  A TOWN IN NEED, Part One",19980320,"ELODIS, Kronos","The two founders - Sten Sanjorge Sr and Hank Fluss - found wildcat drilling to be more lucrative, and thus began a series of environmental disasters and financial scandals that eventually ran Sanjorge Sr into an early grave and drove Fluss into a marginal role in his own company.  With the death of Sanjorge Sr, the son took the helm of GAStech firmly in his grasp and broadened its influence further afield, eventually landing at the doorstep of the small peaceful township of Elodis.","founder,wildcat,drilling,series,disaster,scandal,grave,role,company,death,son,helm,grasp,influence,doorstep,township","lucrative,environmental,financial,early,marginal,own,small,peaceful","find,be,begin,run,drive,take,broaden","Sten Sanjorge Sr,Hank Fluss,Sanjorge Sr,Fluss,Sanjorge Sr",GAStech,,,Elodis,,0.125,0.45,5
531.txt,The Orb,,"ELODIS, KRONOS:  A CITY IN the NEED, part on",19980320,"ELODIS, Kronos",I caught up with myself compared to Henk Bodrogi downtown making of the purchases to the store of material of Osvaldo to repair a broken tractor.,"downtown,making,purchase,store,material,tractor",,"catch,compare,repair,break",Henk Bodrogi,Osvaldo,,,,,-0.4,0.4,1
448.txt,The Wrap,,"ELODIS, KRONOS:  A CITY IN NEED, part ",19980321,"ELODIS, Krono",I obtained Henk Bodrogi which in city in purchases make at the hardware rise of Osvaldo to repair a broken motor tractor.,"city,purchase,hardware,rise,motor,tractor",,"obtain,make,repair,break",Henk Bodrogi,Osvaldo,,,,,-0.4,0.4,1
317.txt,Daily Pegasus,,"ELODIS, KRONOS:  A CITY IN the NECESSITY, part on",19980321,"ELODIS, Kronos",I took for above with Henk Bodrogi in the city that made purchases in the warehouse of the hardware of Osvaldo to repair an broken tractor.,"city,purchase,warehouse,hardware,tractor",,"take,make,repair,break",Henk Bodrogi,Osvaldo,,,,,-0.2,0.25,1
448.txt,The Wrap,,"ELODIS, KRONOS:  A CITY IN NEED, part ",19980321,"ELODIS, Krono","The two founders - Hank Fluss and Sten Sanjorge Sr.- found more profitable unreliable drilling to be, and started this way with a range environment calamities and financial scandals which Sanjorge Sr. eventual in an early sepulchre in and Fluss in a marginal role in its own company.","founder,drilling,way,range,environment,calamity,scandal,sepulchre,role,company","profitable,unreliable,financial,early,marginal,own","find,be,start","Hank Fluss,Sten Sanjorge Sr.-,Sanjorge Sr.,Fluss",,,,,,0.3,0.45,4
502.txt,Homeland Illumination,Petrus Gerhar,"ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Tw",19980425,,"We met several times with GAStech representatives, including one of the senior executives, Hank Fluss.","time,representative,executive","several,senior","meet,include",Hank Fluss,GAStech,,,,,0.0,0.0,1
502.txt,Homeland Illumination,Petrus Gerhar,"ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Tw",19980425,,I caught up with Henk Bodrogi in town making purchases at Ferro Hardware store to repair a broken tractor.,"town,making,purchase,store,tractor",broken,"catch,repair",Henk Bodrogi,Ferro Hardware,,,,,-0.4,0.4,1
502.txt,Homeland Illumination,Petrus Gerhar,"ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Tw",19980425,,"""We've worked the land for a long time - maybe 200 years, maybe a bit more,"" Henk Bodrogi told me as he picked over a container of bolts, searching for the right size.","land,long,time,year,bit,container,bolt,size","more,right","work,tell,pick",Henk Bodrogi,,,200 years,,,0.24523809523809526,0.4785714285714286,1
502.txt,Homeland Illumination,Petrus Gerhar,"ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Tw",19980425,,"""I usually head to the fields before sun up,"" Mr. Henk Bodrogi tells me.","field,sun",,"head,tell",Henk Bodrogi,,,,,,-0.25,0.25,1
183.txt,The Wrap,,"ELODIS, KRONOS:  AID OF UNEXPECTED part tw",19980426,This Article is the second of  thre,"I usually up to the areas by sun, M. Henk Bodrogi tells me.","area,sun",,tell,M. Henk Bodrogi,,,,,,-0.25,0.25,1
183.txt,The Wrap,,"ELODIS, KRONOS:  AID OF UNEXPECTED part tw",19980426,This Article is the second of  thre,"We the country has for a long time worked - perhaps 200 years, perhaps  more, Henk Bodrogi me since he picked concerning a container of, which bolt to the correct size.","country,time,year,container,bolt,size","long,more,correct","work,pick,concern",Henk Bodrogi,,,200 years,,,0.225,0.45,1
183.txt,The Wrap,,"ELODIS, KRONOS:  AID OF UNEXPECTED part tw",19980426,This Article is the second of  thre,I met Henk Bodrogi which in city in purchases make rise of the hardware at Ferro to repair a broken motor tractor.,"city,purchase,rise,hardware,motor,tractor",,"meet,make,repair,break",Henk Bodrogi,Ferro,,,,,-0.4,0.4,1
4.txt,News Online Today,,"ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two",19980426,Petrus Gerhar,"""We've worked the land for a long time - maybe 200 years, maybe a bit more,"" Henk Bodrogi told me as he picked over a container of bolts, searching for the right size.","land,long,time,year,bit,container,bolt,size","more,right","work,tell,pick",Henk Bodrogi,,,200 years,,,0.24523809523809526,0.4785714285714286,1
741.txt,The Orb,,"ELODIS, KRONOS:  HELP of an UNEXPECTED part two of SOURC",19980427,,"We met several times with representatives of GAStech, including one of the senior executive, Hank Fluss.","time,representative,executive","several,senior","meet,include",Hank Fluss,GAStech,,,,,0.0,0.0,1
741.txt,The Orb,,"ELODIS, KRONOS:  HELP of an UNEXPECTED part two of SOURC",19980427,,"""Of I head usually to the fields before the sun to the top,"" Mr. Henk Bodrogi indicates to me.","field,sun,top",,"head,indicate",Henk Bodrogi,,,,,,0.125,0.375,1
741.txt,The Orb,,"ELODIS, KRONOS:  HELP of an UNEXPECTED part two of SOURC",19980427,,"It is obvious that it [Sanjorge] does not have any interest for the wellbeing of the residents of Elodis, or environment.""

Sten Sanjorge Jr., which had inherited its share to the company of his father in 1990, had developed a reputation for pitiless procedures of management.

""When we did not make progress with GAStech,"" Reynolds continued, ""the chiefs of the community decided to approach the government of Kronos for the assistance.","interest,wellbeing,resident,environment,share,company,father,reputation,procedure,management,progress,chief,community,government,assistance","obvious,pitiless","have,inherit,develop,make,continue,decide,approach","Sten Sanjorge Jr.,Reynolds","GAStech,Kronos",,1990,Elodis,,0.05,0.4,2
647.txt,Daily Pegasus,,"ELODIS, KRONOS:  AID of one divides two of the SOURCE UNEXPECTE",19980427,,"""We have worked the Earth during long time - perhaps 200 years, perhaps a small piece more,"" Henk Bodrogi said to me as it chose on a package of per to us, looking for the right size.","long,time,year,piece,package,size","during,small,more,right","work,say,choose,look",Henk Bodrogi,,Earth,200 years,,,0.12142857142857146,0.4589285714285714,1
741.txt,The Orb,,"ELODIS, KRONOS:  HELP of an UNEXPECTED part two of SOURC",19980427,,I caught up with myself compared to Henk Bodrogi downtown making of the purchases to the ferro store of material to repair a broken tractor.,"downtown,making,purchase,ferro,store,material,tractor",,"catch,compare,repair,break",Henk Bodrogi,,,,,,-0.4,0.4,1
647.txt,Daily Pegasus,,"ELODIS, KRONOS:  AID of one divides two of the SOURCE UNEXPECTE",19980427,,I took for above with Henk Bodrogi in the city that made purchases in the warehouse of the hardware of Ferro to repair an broken tractor.,"city,purchase,warehouse,hardware,tractor",,"take,make,repair,break",Henk Bodrogi,Ferro,,,,,-0.2,0.25,1
741.txt,The Orb,,"ELODIS, KRONOS:  HELP of an UNEXPECTED part two of SOURC",19980427,,"""We worked the ground for a long time - perhaps 200 years, perhaps a little more,"" Henk Bodrogi like it indicated to me selected above a container of bolts, seeking the good size.","ground,long,time,year,container,bolt,size","little,more,good","work,indicate,select",Henk Bodrogi,,,200 years,,,0.1925,0.42,1
35.txt,Homeland Illumination,Petrus Gerhar,"ELODIS, KRONOS: WILL THE GOVERNMENT RESPOND IN TIME? Part Thre",19980515,,"""Henk Bodrogi - the man you met - didn't give up.",man,,"meet,give",Henk Bodrogi,,,,,,0.0,0.0,1
237.txt,All News Today,,"ELODIS, KRONOS: WILL THE GOVERNMENT RESPOND IN TIME?",19980515,,"""Henk Bodrogi - the man you met - didn't give up.",man,,"meet,give",Henk Bodrogi,,,,,,0.0,0.0,1
622.txt,The Orb,,"ELODIS, KRONOS: WILL THE GOVERNMENT ANSWER IN TIME? Part thre",19980517,,"""Henk Bodrogi - the man whom you met - did not give up.",man,,"meet,give",Henk Bodrogi,,,,,,0.0,0.0,1
264.txt,Daily Pegasus,,"ELODIS, KRONOS:  THE GOVERNMENT WILL RESPOND IN TIME? Part thre",19980517,,"""Henk Bodrogi - the man who you talked to - did not give for above.",man,above,"talk,give",Henk Bodrogi,,,,,,0.0,0.1,1
814.txt,The Wrap,,"ELODIS, KRONOS: WILL THE GOVERNMENT ANSWER ON TIME? Part thre",19980517,,Henk Bodrogi - the man met you - did not give up.,man,,"meet,give",Henk Bodrogi,,,,,,0.0,0.0,1
293.txt,Homeland Illumination,Petrus Gerhar,TEN-YEAR OLD ELODIS GIRL DIES OF POISONIN,19980819,,"Ten-year old Juliana Vann died yesterday afternoon, surrounded by her family and friends.","year,yesterday,afternoon,family,friend",old,"die,surround",Juliana Vann,,,"Ten-year old,yesterday",,,0.1,0.2,1
275.txt,The Orb,,FROM TEN YEARS - OLD WOMEN MATRICES OF GIRL Of ELODIS OF POISONIN,19980820,"ELODIS, Krono","Ten years old Juliana Vann died yesterday afternoon, surrounded by its family and friends.","year,yesterday,afternoon,family,friend",old,"die,surround",Juliana Vann,,,"Ten years old,yesterday",,,0.05,0.1,1
263.txt,News Online Today,,TEN-YEAR OLD ELODIS GIRL DIES OF POISONING,19980820,"ELODIS, Kronos","Ten-year old Juliana Vann died yesterday afternoon, surrounded by her family and friends.","year,yesterday,afternoon,family,friend",old,"die,surround",Juliana Vann,,,"Ten-year old,yesterday",,,0.1,0.2,1
409.txt,The Wrap,,TEN YEARS OLD LITTLE GIRL OF ELODIS DIES OF POISONIN,19980821,,"ELODIS, Kronos 

Ten years - old Juliana Vann died yesterday afternoon, surrounded by its family and friends.","year,yesterday,afternoon,family,friend",old,"die,surround",Juliana Vann,,,"Ten years - old,yesterday","ELODIS,Kronos",,0.05,0.1,1
630.txt,Kronos Star,Lelio Masi,Ministry of Health Investigates Contamination Complaint,19981109,"ABILA, Krono",Minister of Health Cesare Nespola announced today that his organization would be investigating claims of abnormal health issues in areas surrounding the Tiskele Bend drill site.,"today,organization,investigating,claim,health,issue,area,drill,site",abnormal,"announce,surround",Cesare Nespola,,,today,Tiskele Bend,,0.0,0.0,1
166.txt,The Truth,,The ministry of health examines the complaints of pollutio,19981110,"ABILA, Kronos",The minister of health Cesare Nespola announced today to that its organization require of abnormal health questions in areas researches those drilling sites would surround of bending Tiskele.,"minister,health,today,organization,health,question,area,research,drilling,site",abnormal,"announce,require,surround,bend",Cesare Nespola,,Tiskele,today,,,0.0,0.0,1
467.txt,News Online Today,,Ministry of Health Investigates Contamination Complaints,19981110,"ABILA, Kronos",Minister of Health Cesare Nespola announced today that his organization would be investigating claims of abnormal health issues in areas surrounding the Tiskele Bend drill site.,"today,organization,claim,health,issue,area,drill,site",abnormal,"announce,investigate,surround",Cesare Nespola,,,today,Tiskele Bend,,0.0,0.0,1
5.txt,Worldwise,,The ministry for health studies complaints of contaminatio,19981110,"ABILA, Kronos",The Minister for health Cesare Nespola announced today that its organization would study complaints of the abnormal questions of health in the sectors surrounding the site of drill of curve of Tiskele.,"health,today,organization,complaint,question,health,sector,site,drill,curve",abnormal,"announce,study,surround",Cesare Nespola,,Tiskele,today,,,0.0,0.0,1
399.txt,Homeland Illumination,Maha Sal,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALT,19981114,"ABILA, Kronos","""This was a productive meeting,"" POK leader Henk Bodrogi told the Homeland Illumination.","meeting,leader",productive,tell,Henk Bodrogi,"POK,the Homeland Illumination",,,,,0.0,0.0,1
399.txt,Homeland Illumination,Maha Sal,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALT,19981114,"ABILA, Kronos","Representatives from the social activist group Protectors of Kronos (POK) met earlier this week with Cesare Nespola, Minister of Health to discuss resolutions to the water contamination that has plagued Elodis since the late 1990s.","representative,activist,group,week,resolution,water,contamination,1990","social,late","meet,discuss,plague",Cesare Nespola,"Protectors of Kronos,POK",,"earlier this week,the late 1990s",Elodis,,-0.08888888888888889,0.3888888888888888,1
420.txt,All News Today,,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,19981115,"ABILA, Kronos","Representatives from the social activist group Protectors of Kronos (POK) met earlier this week with Cesare Nespola, Minister of Health to discuss resolutions to the water contamination that has plagued Elodis since the late 1990s.","representative,activist,group,week,resolution,water,contamination,1990","social,late","meet,discuss,plague",Cesare Nespola,"Protectors of Kronos,POK",,"earlier this week,the late 1990s",Elodis,,-0.08888888888888889,0.3888888888888888,1
408.txt,The Wrap,,THE REPRESENTATIVES POK COME TOGETHER WITH MINISTER KRONOS HEALT,19981115,"ABILA, Kronos","The representatives of the social guards of the activist group of Kronos (POK) met in former days these yielded with Cesare Nespola, minister of health to discuss resolutions to water pollution to which Elodis have infested for the recent nineties.","representative,guard,group,day,yielded,minister,health,resolution,water,pollution,ninety","social,activist,former,recent","meet,discuss,infest",Cesare Nespola,"Kronos,POK",,"former days,the recent nineties",,,0.011111111111111113,0.10555555555555557,1
779.txt,News Online Today,,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,19981115,"ABILA, Kronos","Representatives from the social activist group Protectors of Kronos (POK) met earlier this week with Cesare Nespola, Minister of Health to discuss resolutions to the water contamination that has plagued Elodis since the late 1990s.","representative,activist,group,week,resolution,water,contamination,1990","social,late","meet,discuss,plague",Cesare Nespola,"Protectors of Kronos,POK",,"earlier this week,the late 1990s",Elodis,,-0.08888888888888889,0.3888888888888888,1
408.txt,The Wrap,,THE REPRESENTATIVES POK COME TOGETHER WITH MINISTER KRONOS HEALT,19981115,"ABILA, Kronos","This a productive meeting, POK was the LEADER Henk Bodrogi said.","meeting,leader",productive,"be,say",Henk Bodrogi,POK,,,,,0.0,0.0,1
211.txt,The Orb,,TO MEET REPRESENTATIVES OF POK THE MINISTER OF KRONOS OF HEALT,19981116,"ABILA, Kronos","The representatives of the social activist group guards of Kronos (POK) met earlier this week with Cesare Nespola, minister of health to discuss the resolutions to the contamination of the water which infested Elodis since the Nineties late.","representative,activist,group,guard,week,minister,health,resolution,contamination,water,ninety",social,"meet,discuss,infest",Cesare Nespola,"Kronos,POK",,"earlier this week,the Nineties late",Elodis,,-0.08888888888888889,0.3888888888888888,1
211.txt,The Orb,,TO MEET REPRESENTATIVES OF POK THE MINISTER OF KRONOS OF HEALT,19981116,"ABILA, Kronos","""It was a productive meeting,"" the Chief of POK Henk Bodrogi indicated.",meeting,productive,indicate,Henk Bodrogi,POK,,,,,0.0,0.0,1
628.txt,Daily Pegasus,,MEETING OF THE REPRESENTATIVES OF POK WITH THE MINISTER OF KRONOS OF THE HEALT,19981116,"ABILA, Kronos","""This was a productive meeting,"" POK leader that Henk Bodrogi said.","meeting,leader",productive,say,Henk Bodrogi,POK,,,,,0.0,0.0,1
706.txt,The Light of Truth,,INCOMES OF DISC OF REPORTS/RATIOS OF GASTEC,19990220,"CENTRUM, Tethys","""International GAStech provided another year of the higher financial execution carried out by a coherent execution of vision and expert,"" Sten Sanjorge Jr., the senior staff of GAStech, said in a declaration.","year,execution,execution,vision,expert,staff,declaration","high,financial,coherent,senior","provide,carry,say",Sten Sanjorge Jr.,"International GAStech,GAStech",,another year,,,0.1875,0.3,1
488.txt,Kronos Star,Donato Petr,"Minister Nespola Champions Added Taxes on Oil, Gas Developmen",19990703,"ABILA, Krono",Minister of Health Cesare Nespola announced that he would sponsor a bill to increase taxes on oil and gas development by an additional 10%.,"bill,taxis,oil,gas,development,%,.",additional,"announce,sponsor,increase",Cesare Nespola,,,,,,0.0,0.0,1
821.txt,International News,,"Minister Nespola Champions Added Taxes on Oil, Gas Development",19990704,"ABILA, Kronos",Minister of Health Cesare Nespola announced that he would sponsor a bill to increase taxes on oil and gas development by an additional 10%.,"bill,taxis,oil,gas,development,%,.",additional,"announce,sponsor,increase",Cesare Nespola,,,,,,0.0,0.0,1
640.txt,News Online Today,,"Minister Nespola Champions Added Taxes on Oil, Gas Development",19990704,"ABILA, Kronos",Minister of Health Cesare Nespola announced that he would sponsor a bill to increase taxes on oil and gas development by an additional 10%.,"bill,taxis,oil,gas,development",additional,"announce,sponsor,increase",Cesare Nespola,,,,,,0.0,0.0,1
327.txt,The Guide,,"Minister Nespola Champions Added Tax Oil , Gas Developmen",19990704,"ABILA, Kronos",Health Minister Cesare Nespola announced he would sponsor a bill to raise taxes on the oil and gas in an additional 10%.,"bill,taxis,oil,gas,%,.",additional,"announce,sponsor,raise",Cesare Nespola,,,,,,0.0,0.0,1
724.txt,The Truth,,"The added taxes of Nespola of the minister Champions on oil, development of the ga",19990704,"ABILA, Kronos",The minister of health Cesare Nespola he kondigde an account would sponsor to raise the development taxes at oil and gas with extra 10% to that.,"minister,health,account,development,taxis,oil,gas,%",extra,"kondigde,sponsor,raise",Cesare Nespola,,,,,,0.0,0.1,1
659.txt,Worldwise,,"Additional taxes by champions of Nespola of minister on oil, formation of ga",19990705,"ABILA, Kronos",The Minister for health Cesare Nespola announced that it would finance an invoice to increase taxes on the development of oil and gas of one 10% additional.,"health,invoice,taxis,development,oil,gas,%",additional,"announce,finance,increase",Cesare Nespola,,,,,,0.0,0.0,1
468.txt,Homeland Illumination,Maha Sal,MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONIN,19990707,"ABILA, Krono","Thanks to Minister Nespola no more children will have to die.""

Osvaldo refers to Juliana Vann, a 10-year old girl who died last year from leukemia due to with benzene poisoning from gas drilling operations upstream from her home.","thank,child,year,girl,year,leukemia,benzene,poisoning,gas,drilling,operation,home","more,old,last","have,die,refer,die","Nespola,Osvaldo,Juliana Vann",,,"10-year old,last year",,,-0.014999999999999998,0.2683333333333333,3
468.txt,Homeland Illumination,Maha Sal,MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONIN,19990707,"ABILA, Krono",Prime Minister of Health Cesare Nespola announced he would sponsor a bill to increase taxes on foreign energy development in Kronos intended to fund environmental cleanup and improved healthcare for rural towns.,"bill,taxis,energy,development,cleanup,healthcare,town","foreign,environmental,rural","announce,sponsor,increase,intend,fund,improve",Cesare Nespola,,,,Kronos,,-0.0625,0.0625,1
468.txt,Homeland Illumination,Maha Sal,MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONIN,19990707,"ABILA, Krono","""Our path forward is clear,"" POK co-leader Carmine Osvaldo told the Homeland Illumination.","path,co,-,leader",clear,tell,Carmine Osvaldo,"POK,the Homeland Illumination",,,,,0.10000000000000002,0.3833333333333333,1
267.txt,News Online Today,,MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING,19990708,"ABILA, Kronos",Prime Minister of Health Cesare Nespola announced he would sponsor a bill to increase taxes on foreign energy development in Kronos intended to fund environmental cleanup and improved healthcare for rural towns.,"bill,taxis,energy,development,cleanup,healthcare,town","foreign,environmental,rural","announce,sponsor,increase,intend,fund,improve",Cesare Nespola,,,,Kronos,,-0.0625,0.0625,1
612.txt,All News Today,,MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING,19990708,"ABILA, Kronos","""We fight for clean water, good health and now we will have the funds to make this happen"", stated POK spokesperson Carmine Osvaldo.","water,health,fund,spokesperson","clean,good","fight,have,make,happen,state",Carmine Osvaldo,POK,,,,,0.5333333333333333,0.6500000000000001,1
